id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
7048591916,https://boston.craigslist.org/gbs/apa/d/waverley-lexington-center-battlegreen/7048591916.html,boston,https://boston.craigslist.org,2450,apartment,950,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00Y0Y_4Nw47FbvqMq_600x450.jpg,"Contact info:  Owned and Managed by The Hamilton Company | Battle Green Apts34 Worthen Rd. Lexington MA 02421$2,450/mo ** January Free!** **Photos of Similar Unit** KEY FEATURES   Available:  Dec 15-Jan 1st Move-in.   Includes:  Heat + Hot water and outdoor parking   Sq Footage:  1100 sqft.  Bedrooms:  2 Bed Bathrooms:  2 Bath Parking:  Outdoor parking *2 spaces are fine* Included in rent Lease Duration:  Flexible Lease Terms: (Inquire within) Pets Policy:  No Pets Allowed Laundry:  Card operated in building Floor:  1st floor of 2 story building Property Type:  Multi Unit  DESCRIPTION Very large spacious 2BR 2 Bath in Lexington! This unit is a 1st floor unit of a 2-story building that gets plenty of sun light! With over 1100 square feet unit seems enormous! The kitchen is fully equipped with dishwasher, disposal and new cabinets. The unit has beautiful hardwood parquet flooring, AC wall units in living room and bedroom, and updated bathroom!   Battle Green Apartments is a 48-unit Class 'A' apartment community, a mere thirteen miles northwest of downtown Boston, in close proximity to Route 128/I-95 and Route 2A in the highly sought-after community of Lexington, MA.    The property is situated at the heart of a historic district in Lexington Center just steps from Battle Green (site of ""the shot heard round the world"" and the start of the Revolutionary War) on Worthen Road within walking distance to town center (restaurants, shops, pharmacy and grocery store) and with excellent access to Route 2, Route 3, I-90 (Mass Pike) and I-93 employment markets and retail amenities.  RENTAL FEATURESUpdated KitchenDishwasherRange / OvenRefrigeratorMicrowave Garbage disposalHeat and Hot Water and Parking includedHardwood Parquet floors  Contact info:   The Hamilton Company â EQUAL HOUSING OPPORTUNITY",42.4235,-71.2166,ma
7048584795,https://boston.craigslist.org/bmw/apa/d/concord-amazing-2bed-affordable-housing/7048584795.html,boston,https://boston.craigslist.org,1747,apartment,975,2,2.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00O0O_hgVU1Dt4yZH_600x450.jpg,"The Prescott at Concord 1 Nathan Pratt Drive, Concord, MA, 01742  Want more info on this unit? See the link (below): http://cl.greystar.com/51205k  Call Now: (844)290-7063   DISTINCT DESIGN IN A RURAL OASIS  This is a 2 Bedroom, 2 Bath, approximately 975 Sq. Ft.   When it comes to apartment rentals in The Prescott at Concord, thereâs really just one choice. With our one-, two- and three-bedroom apartment and town home floor plans, you will surely find a space that suits your needs. Whether you want to play, relax, or gather with friends,The Prescott at Concord Apartments provide countless options with uncommon community amenities at every turn. Relax beside a sparkling pool, enjoy the warmth of an outdoor fire pit or play a game of bocce ball as you unwind after a day of work. Enjoy the perks of life at a residential community that offers a bark park, childrenâs playgrounds, and private garages and storage spaces.   Features - Two Story Townhomes with Attached Garages  - Stainless steel appliances  - Full-Size Washer/Dryer in Every Home  - Granite Countertops  - Smoke-Free and Pet-Free Building Options  - Spacious Walk-In Shower with Rainfall Showerhead  - Free Outdoor Parking and Rentable Attached Garages Available  - Custom Cherry or Bird`s Eye Maple Cabinets  - Panoramic Picture Windows and Wooded Views  - Wood Finished Flooring in Kitchen and Foyer  - Light-Filled, Open Floor Plans  - Expansive Balcony or Patio  - Chef`s Island and Gas Cooking  - Optional Den or Loft with Volume Ceiling   Community Amenities - 7,000 Square Foot Wi-Fi Enabled Resident Lounge with Entertainment Kitchen, Billiards and Gaming  - Loaner Bikes  - 1,000 Square Foot Fitness Studio and Yoga/Barre Studio  - Highly Sought-After Address in Premier School District  - 2 Playgrounds  - Bark Park  - Business Center with iPad, Mac, and PC Workstations  - Outdoor Fire Pits  - Private Community Swimming Pool with Sundeck  - Private Garages and Storage Spaces  - Four Terraced Grilling Areas  - Minutes to Concord and West Concord T Stations    Office Hours Monday-Friday:9:00AM-6:00PM Saturday:10:00AM-5:00PM   Pet Policy We welcome 2 pets per apartment home. Pet rent is $65 for dogs and $50 for cats. Maximum allowed weight is 100lbs. Please call for complete pet policy information.   Equal Housing Opportunity    dY1HpyPp7TW  This apartment is part of the Massachusetts 40B Affordable Program. Participant must meet income requirements.  Minimum Annual Income  1BR- $40,008 2BR- $44,328 3BR- $48,672  Maximum Annual Gross Income Limit Household Size:  1 Person Household - $62,450  2 Person Household - $71,400  3 Person Household - $80,300  4 Person Household - $89,200  5 Person Household - $96,350  6 Person Household - $103,500",42.4567,-71.3747,ma
7048579724,https://boston.craigslist.org/bmw/apa/d/concord-incredible-opportunity/7048579724.html,boston,https://boston.craigslist.org,1667,apartment,719,1,1.0,1,1,0,0,0,0,w/d in unit,off-street parking,https://images.craigslist.org/00O0O_hgVU1Dt4yZH_600x450.jpg,"DISTINCT DESIGN IN A RURAL OASIS When it comes to apartment rentals in The Prescott at Concord, thereâs really just one choice. With our one-, two- and three-bedroom apartment and town home floor plans, you will surely find a space that suits your needs. Whether you want to play, relax, or gather with friends,The Prescott at Concord Apartments provide countless options with uncommon community amenities at every turn. Relax beside a sparkling pool, enjoy the warmth of an outdoor fire pit or play a game of bocce ball as you unwind after a day of work. Enjoy the perks of life at a residential community that offers a bark park, childrenâs playgrounds, and private garages and storage spaces.  Call Now: (844)290-7063Want more information? Follow this link:http://cl.greystar.com/e5L6cr This is a 1 Bedroom, 1 Bath, approximately 719 Sq. Ft. Features - Panoramic Picture Windows and Wooded Views  - Custom Cherry or Bird`s Eye Maple Cabinets  - Spacious Walk-In Shower with Rainfall Showerhead  - Light-Filled, Open Floor Plans  - Expansive Balcony or Patio  - Chef`s Island and Gas Cooking  - Two Story Townhomes with Attached Garages  - Optional Den or Loft with Volume Ceiling  - Smoke-Free and Pet-Free Building Options  - Free Outdoor Parking and Rentable Attached Garages Available  - Stainless steel appliances  - Wood Finished Flooring in Kitchen and Foyer  - Granite Countertops  - Full-Size Washer/Dryer in Every Home Community Amenities - 7,000 Square Foot Wi-Fi Enabled Resident Lounge with Entertainment Kitchen, Billiards and Gaming  - Private Garages and Storage Spaces  - Outdoor Fire Pits  - Four Terraced Grilling Areas  - Bark Park  - Highly Sought-After Address in Premier School District  - Loaner Bikes  - 1,000 Square Foot Fitness Studio and Yoga/Barre Studio  - 2 Playgrounds  - Minutes to Concord and West Concord T Stations  - Business Center with iPad, Mac, and PC Workstations  - Private Community Swimming Pool with Sundeck Pet Policy We welcome 2 pets per apartment home. Pet rent is $65 for dogs and $50 for cats. Maximum allowed weight is 100lbs. Please call for complete pet policy information. Office Hours Monday-Friday:9:00AM-6:00PMSaturday:10:00AM-5:00PMThe Prescott at Concord 1 Nathan Pratt Drive, Concord, MA, 01742Equal Housing Opportunity 2an0tCbrrS  This apartment is part of the Massachusetts 40B Affordable Program. Participant must meet income requirements.  Minimum Annual Income  1BR- $40,008 2BR- $44,328 3BR- $48,672  Maximum Annual Gross Income Limit Household Size:  1 Person Household - $62,450  2 Person Household - $71,400  3 Person Household - $80,300  4 Person Household - $89,200  5 Person Household - $96,350  6 Person Household - $103,500",42.4567,-71.3747,ma
7038629072,https://boston.craigslist.org/sob/apa/d/stoughton-great-modern-3-br-apartment/7038629072.html,boston,https://boston.craigslist.org,2400,condo,1400,3,1.5,1,1,0,0,0,0,laundry on site,attached garage,https://images.craigslist.org/00P0P_3xUxq7idjZI_600x450.jpg,"This condo is 3 bedroom unit with 1.5 bathroom is the jewel of the whole Greenbrook association. It is unique in every aspect. After being remodeled it has unique open floor plan, new contemporary kitchen with full set of appliances: gas stove, microwave, dishwasher and modern french door refrigerator.  Attached 2 car garage has additional private parking space in front of it - unlike any other unit with 2 car garage in the association!  First level has all genuine granite tile floor and the second floor has gorgeous Brazilian Teak hardwood. Newer oversized washer and dryer on the second floor, remodeled bathroom with walk-in shower and 2-faucet sink. Walk-in closet and additional built-in closet in master bedroom. Recessed lights with dimmers throughout the house. Built-in 5.1 in-wall speakers in the living room with hook-ups in the den on 2nd floor.  Forced air heater and central A/C are just replaced with brand new high efficiency units in December 2019. High efficiency windows recently installed to prevent heat leaks, mean less utility expenses. The small broom closet under the stairs has pets door and could be used for cats litter box. Fenced private patio/porch with little soil space for flowers or small garden. Plenty of storage space in accessible attic. Easy access to major highways and 3 Commuter rail stations - Sharon, Canton and Stoughton.  Excellent neighbors, very safe and quiet family-friendly community. Common amenities include spacious Club House, Tennis courts, Outdoor pool. Must see to appreciate the look and feel of this unit!  NOTES: The apartment is not inspected for Section 8 applications. Apartment is not wheelchair accessible. Please be aware that the modern stairs has no side railing on lower part and is potentially hazardous for little children. I (owner) will pay association fees, which currently include water, maintenance of common areas, snow and trash removal. Tenant pays for electricity, gas (used for dryer, stove, forced heating, water heater) , cable/internet (Verizon FIOS hub is in unit, or Comcast). Tenant would be required to pay 1st + last month + security deposit to move in. Additional requirements: steady income, clean background, no prior evictions or criminal history, prior landlords recommendations.",42.1399,-71.1329,ma
7041351743,https://boston.craigslist.org/gbs/apa/d/revere-revere-beach/7041351743.html,boston,https://boston.craigslist.org,2400,apartment,1100,2,2.0,1,0,0,1,0,0,laundry in bldg,attached garage,https://images.craigslist.org/00l0l_8I60XIFhZFd_600x450.jpg,"2 bedrooms available. Heat, AC, and Hot Water included. Beach front, parking garage, Pool. Only 4 minute drive to Stop and Shop and Target. 1 minute walk to T line with direct access to Government Center Station. First Month Free!  Please call: 781-284-5100",42.4138,-71.0052,ma
7039980403,https://boston.craigslist.org/sob/apa/d/onset-wareham-off-season-home-for-rent/7039980403.html,boston,https://boston.craigslist.org,2500,house,3000,4,2.5,1,1,0,0,0,1,w/d in unit,off-street parking,https://images.craigslist.org/00j0j_cROmp4XZh2U_600x450.jpg,Christmas weeks available and weekends for football party ect   mass maritime students there now   large home for rent Jan Feb March April May   1/2 June   4 bedroom temporary rental  All renters  must have primary home address,41.7476,-70.6582,ma
7038626569,https://boston.craigslist.org/bmw/apa/d/auburndale-upper-floor-corner-modern/7038626569.html,boston,https://boston.craigslist.org,1950,apartment,750,2,1.0,1,0,1,0,0,0,laundry in bldg,off-street parking,https://images.craigslist.org/00h0h_jgIdMsn7SQn_600x450.jpg,NO LAST MONTH'S RENT AND NO SECURITY DEPOSIT!  Modern kiutchen and bath. Laundry and storage in building. Heat and Hot water included. Parking for one car included. Extra parking spot available.,42.3561,-71.2412,ma
7038476783,https://boston.craigslist.org/sob/apa/d/braintree-2-bed-2-bath-attached-garage/7038476783.html,boston,https://boston.craigslist.org,2733,apartment,1330,2,2.0,1,1,0,0,0,0,w/d in unit,attached garage,https://images.craigslist.org/00v0v_2yajNM2DkBw_600x450.jpg,"Call now â (781) 843-8443 extension 3 Visit our website: http://www.aptsview.com/g0z8on      Address: 550 Liberty Street, Braintree, MA, 02184  Description:  Lenox Farms offers luxury Braintree apartments and townhomes, remarkable amenities and a country club-style that welcomes you home. Now offering furnished and unfurnished apartments, these Braintree apartments boast granite slab countertops, stainless steel appliances, beautiful hardwood flooring and in-home washer and dryer. Enjoy access to upscale resident amenities including a state-of-the-art fitness center, a resort-style pool with fountain, private garages with direct access and premier services. Just off of Route 3 and I-93, Lenox Farms is only minutes from South Boston. Enjoy the quiet conservation lands without being too far away from the best that Boston has to offer. Shop your favorite stores at South Shore Plaza, jog the Blue Hills walking trails, take the Lenox Farms shuttle to the T or escape to Cape Cod. Lenox Farms is ideal for apartment living just outside of Boston â schedule a tour today!  Apartment Amenities:  Attached Garage(s) Stainless Steel Appliances Air Conditioning Ceiling Fans Fireplace* Microwave Premium Bathroom Finishes Vaulted ceiling* Granite Countertops Hardwood Floors Breakfast Bar Dishwasher Walk-In Closet(s) Office Nook Refrigerator Washer and Dryer Custom Built-In Closet* Nest Thermostat* *Premium item **Not all amenities available for every floor plan   Community Amenities:  24-hour package pickup Business center Clubhouse Controlled access Fitness center Furnished apartments available Grilling area Guest suite Pet Friendly Playground Recreation room Resident lounge Short term leases available Shuttle service to Red Line Commuter Rail Swimming pool TV Lounge Free Weights Covered Parking Wag! Preferred Partner Attached garage Built-in bookcase Built-in desk Closet built-ins Den/ office Dual vanity Fireplace Granite countertops Hardwood floors Nest thermostat Pantry Patio/ balcony Soaking tub Stainless steel appliances Tile backsplash Tile floors in kitchen/bath Vaulted ceilings Walk-in closet Washer and dryer Wood plank flooring  Pet Policy:  Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. ALL ANIMALS MUST BE AUTHORIZED BY MANAGEMENT. Please contact on-site Management for further details.  Driving Directions:  I-93 (or Rte. 128) to Rte. 3 South, Take exit 17, Union Street, Enter roundabout and take the first exit on to Union Street, Take first left on to Ivory Street, and then next left on to Pearl Street, Drive straight through next roundabout in to community, Tour Parking: Future Resident Parking immediately in front of Leasing Office.  Office Hours:  Monday-Tuesday: 9:00AM-6:00PM Wednesday: 10:00AM-3:00PM Thursday-Friday: 9:00AM-6:00PM Saturday: 10:00AM-5:00PM   Ask about 2707!",42.2024,-70.9844,ma
7039651801,https://boston.craigslist.org/nwb/apa/d/methuen-new-3-bedroom-2-bathroom-house/7039651801.html,boston,https://boston.craigslist.org,1950,house,1600,3,2.0,0,0,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00Y0Y_faYFpCMXv2V_600x450.jpg,"This newly built 3 bedroom, 2 bathroom house is conveniently located with easy access to route 93, route 3 and  route 495.  It has 3 bedrooms upstairs with a finished downstairs.  Plenty of storage as well in the basement and shed.",42.728,-71.181,ma
7047458481,https://boston.craigslist.org/bmw/apa/d/lincoln-private-quiet-bright-all/7047458481.html,boston,https://boston.craigslist.org,1700,apartment,600,1,1.0,0,0,0,0,0,0,laundry in bldg,,https://images.craigslist.org/00k0k_6ZVL2qiNMi1_600x450.jpg,New lower level garden apartment in private home conveniently located 1 mile from Walden Pond and the commuter rail.  Large back yard. Perfect for the single professional that is looking for a country get away but is close to the city.      Includes:  Heat Electricity Internet Laundry,42.4145,-71.3417,ma
